state_county,nursing_home_count,overall_rating,health_insp_rating,qm_rating,longstay_qm_rating,shortstay_qm_rating,staffing_rating,rn_staffing_rating,nursing_turnover,rn_turnover,admin_turnover,nurse_aide_hrspres,lpn_hrspres,rn_hrspres,total_nurse_hrspres,total_weighted_health_survey_score,reported_incidents,substantiated_complaints,infection_control_citations,num_fines,fines_dollar_total,num_payment_denials,total_penalties
"IL, Piatt",2,2.0,2.5,3.0,2.0,4.0,2.0,2.0,62.35,10.0,2.0,1.85,0.41,0.59,2.82,77.0,7,2,1.0,3,32224.34,0,3
"IL, Mercer",2,2.0,2.0,3.0,3.5,3.0,1.0,1.0,65.05,70.2,3.5,1.67,0.57,0.34,2.53,114.0835,5,27,3.0,5,97205.2,0,5
"IL, Union",4,4.75,4.5,4.25,4.25,5.0,2.5,2.75,52.38,28.35,1.0,1.9,0.92,1.02,3.62,21.3335,0,3,1.0,1,655.1,0,1
"IL, Bond",1,2.0,2.0,1.0,1.0,2.0,4.0,5.0,,,,1.91,0.92,1.23,3.93,96.667,0,7,2.0,0,0.0,0,0
"IL, Calhoun",1,5.0,4.0,5.0,5.0,5.0,2.0,2.0,40.4,45.5,1.0,1.16,0.66,0.45,2.27,43.333,0,3,0.0,0,0.0,0,0
"IL, Lawrence",1,2.0,2.0,3.0,4.0,2.0,2.0,2.0,56.5,33.3,0.0,1.2,0.64,0.35,2.21,95.333,0,19,2.0,2,35000.0,0,2
"IL, Cass",2,3.0,3.0,4.5,4.5,4.0,2.0,2.0,49.2,50.0,1.0,1.83,1.46,0.64,3.83,80.667,3,0,0.0,6,12576.85,0,6
"IL, Hamilton",2,3.5,4.0,2.5,2.5,1.0,1.0,1.0,66.7,90.0,2.0,1.88,1.03,1.29,3.87,29.6665,1,5,2.0,2,13000.0,0,2
"IL, White",4,2.75,3.5,2.25,2.25,3.5,1.5,1.75,59.17,65.47,1.25,2.18,0.72,0.61,3.45,74.16675000000001,2,20,1.0,3,436936.0,1,4
"IL, Warren",2,2.5,3.0,2.0,2.0,2.5,3.0,3.0,48.6,37.5,1.0,1.74,0.88,0.56,3.22,65.333,1,10,1.0,2,20637.5,1,3
"IL, Cumberland",2,3.0,3.0,3.0,3.5,2.5,2.0,2.5,59.0,67.8,2.0,1.8,0.83,0.5,3.09,88.0,7,8,1.0,3,2925.0,1,4
"IL, Washington",1,1.0,2.0,1.0,2.0,1.0,2.0,2.0,48.8,16.7,1.0,1.42,0.51,0.32,2.24,94.667,0,12,1.0,2,116201.75,0,2
"IL, Gallatin",1,2.0,2.0,5.0,5.0,5.0,1.0,1.0,52.8,42.9,1.0,1.57,0.55,0.26,2.37,56.667,1,3,3.0,0,0.0,0,0
"IL, Menard",1,2.0,2.0,2.0,1.0,3.0,2.0,3.0,61.4,14.3,0.0,1.57,0.72,0.62,2.88,111.333,4,5,2.0,1,76874.0,0,1
"IL, De Witt",2,2.0,2.0,3.5,3.0,4.0,1.0,1.0,49.95,66.7,0.5,2.14,0.76,0.22,3.17,166.6665,5,9,1.0,4,352788.33,1,5
"IL, Henderson",1,4.0,4.0,4.0,4.0,3.0,4.0,4.0,38.7,14.3,0.0,2.16,0.82,0.93,3.83,22.0,0,0,0.0,0,0.0,0,0
"IL, Scott",1,4.0,5.0,3.0,3.0,,1.0,1.0,53.8,,0.0,2.41,1.79,0.54,4.66,4.0,0,1,0.0,4,4555.14,0,4
"IL, Jo Daviess",2,2.0,3.0,2.0,2.0,3.0,1.5,1.5,35.9,42.9,2.0,1.53,0.55,0.37,2.43,58.6665,1,2,0.0,3,14803.75,1,4
"IN, Marion",49,2.48,2.15,3.83,3.89,3.88,2.29,2.46,64.41,61.92,2.37,2.04,0.75,0.53,3.29,86.61900000000003,48,787,153.0,163,2762831.8400000003,12,175
